ID;Latitude;Longitude;ope1;ope2;ope3;ope4;efex1;efex2;efex3;efex4;efin1;efin2;efin3;efin4;efin5;intpol1;intpol2;intpol3;intpol4;intpol5;intknow;senknow1;senknow2;senknow3;senknow4;senknow5;autknow;partinf1;partinf2;partinf3;partinf4;partinf5;partinf6;polpart;parton1;parton2;parton3;parton4;parton5;parton6;partonline;acce1;acce2;acce3;use1;use2;use3;use4;use5;use6;use7;com1;com2;com3;com4;com5;com6;com7;com8;com9;com10;prov1;prov2;prov3;prov4;prov5;prov6;prov7;sexo;edad;edadcat;SES;educ;right;center;left;year;_merge;periphery;yearcat1;yearcat2;yearcat3;Cluster_01;Cluster_05;camp
1989;-32.9697008;-71.526781;1;1;1;1;1;1;1;3;5;3;5;3;5;1;3;2;3;3;0;0;1;1;1;0;3;0;1;0;0;1;0;2;1;1;0;0;0;0;2;S?;S?;No;7;4;7;1;2;1;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;Femenine;20;18-29;5;Universitaria inompleta;No;Yes;No;19;master only (1);0;1;0;0;0;0;0
1990;-32.9659798;-71.5212705;3;2;3;1;1;1;1;3;5;2;2;3;4;2;3;3;3;1;1;0;1;1;1;0;4;0;0;0;0;1;1;2;1;1;0;0;0;0;2;S?;S?;S?;4;2;6;4;4;2;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;Femenine;31;30-44;5;Universitaria completa;No;No;No;19;master only (1);0;1;0;0;0;0;0
4355;-32.9909035;-71.4969801;2;3;4;2;3;3;1;1;3;4;3;4;4;4;4;4;4;2;1;1;1;1;1;0;5;0;1;1;0;1;0;3;1;1;0;1;0;0;3;S?;S?;No;7;4;7;4;4;4;7;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;Masculine;36;30-44;4;Universitaria inompleta;No;No;Yes;21;using only (2);0;0;0;1;0;0;0
4356;-32.9907616;-71.4970375;1;3;3;1;4;3;1;3;3;5;3;3;4;1;4;4;3;1;1;0;1;0;1;0;3;0;1;1;1;1;1;5;0;1;0;0;0;0;1;No;S?;S?;7;4;4;1;1;1;7;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;Femenine;33;30-44;4;Superior tecnica completa;No;Yes;No;21;using only (2);0;0;0;1;0;0;0
4372;-32.9883177;-71.4998944;2;2;2;2;4;2;4;4;3;2;4;2;2;2;4;2;2;2;0;0;1;1;1;0;3;0;1;0;0;0;0;1;1;0;0;0;0;0;1;S?;S?;No;4;1;7;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;Femenine;31;30-44;2;Media incompleta;No;No;No;21;using only (2);0;0;0;1;0;0;0
4373;-32.9882784;-71.4994515;4;4;4;2;3;4;2;3;4;4;4;4;4;3;3;3;3;2;1;0;1;1;1;0;4;1;1;1;1;1;1;6;1;0;0;0;0;0;1;S?;S?;S?;7;4;5;2;2;2;7;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;Masculine;30;30-44;4;Universitaria completa;No;Yes;No;21;using only (2);0;0;0;1;0;0;0
4374;-32.9882767;-71.4993357;2;4;4;2;1;3;1;1;5;4;1;4;5;1;4;4;4;3;0;0;1;1;1;0;3;0;1;0;0;1;0;2;1;1;1;1;0;1;5;S?;S?;S?;7;7;7;4;7;4;7;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;Femenine;47;45-59;2;Media completa;No;No;Yes;21;using only (2);0;0;0;1;0;0;0
4375;-32.9881832;-71.4994267;2;4;4;1;2;2;1;1;4;5;4;3;4;2;3;3;3;2;1;1;1;1;1;0;5;1;1;1;0;1;0;4;1;1;1;1;0;0;4;S?;S?;S?;7;4;7;7;7;1;7;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;Masculine;32;30-44;5;Universitaria completa;Yes;No;No;21;using only (2);0;0;0;1;0;0;0
4376;-32.98818;-71.4994931;2;4;4;2;3;2;1;2;5;5;5;4;5;4;4;4;3;3;1;0;1;1;1;1;5;1;1;1;1;1;1;6;1;0;0;0;0;0;1;S?;S?;S?;7;4;6;1;1;1;7;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;Masculine;27;18-29;4;Superior tecnica completa;No;No;No;21;using only (2);0;0;0;1;0;0;0
4377;-32.9881367;-71.4994337;2;3;3;4;3;4;2;2;2;3;3;2;3;2;2;2;3;2;1;0;1;1;1;0;4;0;1;0;1;1;0;3;1;0;0;0;0;0;1;S?;S?;No;7;4;4;4;4;1;7;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;Masculine;56;45-59;3;Universitaria inompleta;No;Yes;No;21;using only (2);0;0;0;1;0;0;0
4378;-32.9881322;-71.4994366;1;5;5;5;3;4;1;1;4;5;5;4;3;1;3;3;3;1;1;0;0;0;0;0;1;1;1;1;1;1;1;6;1;1;1;0;1;0;4;S?;S?;No;7;6;7;5;5;4;5;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;Masculine;28;18-29;3;Universitaria inompleta;No;No;Yes;21;using only (2);0;0;0;1;0;0;0
4379;-32.988132;-71.4993898;3;4;4;4;2;2;2;3;3;4;2;3;4;3;3;3;3;2;1;0;1;1;1;0;4;1;1;0;0;1;1;4;1;0;0;0;0;0;1;S?;S?;S?;7;4;4;1;1;1;7;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;Masculine;47;45-59;3;Media completa;No;Yes;No;21;using only (2);0;0;0;1;0;0;0
4380;-32.9880879;-71.4994144;3;3;4;1;3;5;1;1;2;3;2;3;3;2;2;2;2;2;1;0;0;0;0;0;1;0;1;0;1;1;1;4;1;0;0;1;0;0;2;S?;S?;No;7;7;7;2;2;2;6;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;Masculine;22;18-29;3;Media completa;No;No;No;21;using only (2);0;0;0;1;0;0;0
1975;-32.9844594;-71.5324086;4;4;4;3;2;3;3;4;4;4;4;5;5;3;3;3;3;3;0;0;1;1;1;0;3;0;1;0;0;1;1;3;1;1;0;0;0;0;2;S?;S?;S?;4;3;4;1;1;1;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;Masculine;30;30-44;5;Universitaria completa;No;No;No;19;master only (1);0;1;0;0;0;0;0
1986;-32.9831711;-71.5312898;1;1;2;2;1;1;1;1;3;3;1;5;2;2;2;2;3;4;1;0;0;0;1;0;2;0;0;0;0;1;0;1;0;0;0;0;0;0;0;S?;No;No;7;1;4;4;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;Femenine;70;60 or more;3;Superior tecnica incompleta;No;No;No;19;master only (1);0;1;0;0;0;0;0
1987;-32.9804979;-71.5304211;3;3;4;4;1;2;1;1;3;4;4;4;4;2;3;3;3;3;1;1;1;1;1;0;5;1;0;0;0;1;0;2;0;1;0;0;0;0;1;S?;S?;S?;7;4;4;1;4;2;7;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;Masculine;52;45-59;5;Universitaria completa;No;Yes;No;19;master only (1);0;1;0;0;0;0;0
1988;-32.9776724;-71.5415677;3;4;4;3;2;3;1;2;5;2;5;3;4;3;4;4;4;4;1;0;1;1;1;0;4;1;1;0;0;1;1;4;1;0;0;0;0;0;1;S?;S?;S?;7;4;7;1;1;1;6;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;Masculine;31;30-44;5;Universitaria completa;No;No;No;19;master only (1);0;1;0;0;0;0;0
1901;-32.9984299;-71.4815508;1;1;1;1;2;3;2;2;3;3;2;3;1;2;3;3;3;3;0;0;1;1;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;S?;No;7;1;1;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;Femenine;56;45-59;3;Media tecnica completa;No;No;No;19;master only (1);0;1;0;0;0;1;1
1902;-32.9983466;-71.48186;1;1;1;3;1;1;1;3;4;4;4;4;4;1;4;4;4;4;0;0;1;1;1;0;3;0;1;1;0;0;1;3;0;0;0;0;0;0;0;S?;S?;S?;6;7;5;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;Masculine;53;45-59;3;Media completa;No;No;No;19;master only (1);0;1;0;0;0;1;1
1903;-32.9983284;-71.4821755;;;;;2;4;4;4;4;2;4;4;4;2;1;4;4;4;1;1;1;1;1;1;6;0;0;0;1;1;0;2;0;0;0;0;0;0;0;No;No;No;1;1;1;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;Masculine;73;60 or more;1;Media completa;No;No;No;19;master only (1);0;1;0;0;0;1;1
1904;-32.9982652;-71.4814502;3;4;4;2;1;1;1;1;4;4;2;4;4;3;3;3;3;3;0;0;1;1;1;0;3;1;1;0;0;1;0;3;1;1;0;0;0;0;2;S?;S?;No;4;1;7;4;7;4;7;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;Masculine;43;30-44;2;Media completa;No;No;No;19;master only (1);0;1;0;0;0;1;1
1905;-32.9980127;-71.4803947;2;1;3;1;2;4;2;2;2;4;2;4;4;1;3;2;2;2;0;0;1;0;1;0;2;1;0;0;0;1;1;3;0;0;0;0;0;0;0;No;S?;No;7;4;7;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;Masculine;32;30-44;4;Superior tecnica completa;No;No;No;19;master only (1);0;1;0;0;0;1;1
1908;-32.9968908;-71.4823148;3;1;1;1;1;1;1;3;1;1;1;1;1;1;3;3;3;3;0;0;1;1;1;0;3;0;1;0;0;1;0;2;1;1;1;1;0;1;5;S?;S?;S?;7;6;7;4;4;2;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;Femenine;37;30-44;2;Media completa;No;No;No;19;master only (1);0;1;0;0;0;1;1
4306;-32.998546;-71.4852306;2;4;4;1;1;1;5;2;5;4;4;4;5;3;3;3;4;3;1;1;1;1;1;0;5;0;1;1;1;1;0;4;1;1;1;1;0;0;4;S?;S?;S?;7;1;4;1;6;1;7;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;Masculine;24;18-29;4;Universitaria inompleta;No;No;Yes;21;using only (2);0;0;0;1;0;1;1
1940;-32.9882363;-71.5259233;1;1;1;1;1;1;1;1;5;5;5;5;1;1;1;1;1;2;0;0;1;1;1;0;3;0;1;1;1;0;0;3;1;0;0;0;0;0;1;S?;S?;No;7;7;7;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;Masculine;24;18-29;4;Universitaria completa;No;No;Yes;19;master only (1);0;1;0;0;0;0;0
1942;-32.9881517;-71.5255309;2;2;3;1;3;2;1;1;5;1;4;3;3;1;2;2;3;3;0;0;1;1;1;0;3;0;1;1;1;1;0;4;1;0;0;0;0;0;1;S?;S?;No;7;4;6;4;3;1;5;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;Femenine;21;18-29;3;Universitaria inompleta;No;Yes;No;19;master only (1);0;1;0;0;0;0;0
1943;-32.9878531;-71.5255748;3;3;3;3;2;3;2;2;2;3;2;3;3;2;2;3;3;3;0;0;1;1;1;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;1;S?;S?;S?;7;4;5;1;1;1;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;Femenine;55;45-59;3;Superior tecnica completa;Yes;No;No;19;master only (1);0;1;0;0;0;0;0
1945;-32.9871272;-71.5257072;4;4;4;4;2;2;2;3;4;3;3;3;4;2;4;3;3;4;1;0;1;1;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;No;No;;;;;;;;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;Masculine;76;60 or more;4;Superior tecnica completa;Yes;No;No;19;master only (1);0;1;0;0;0;0;0
1949;-32.9861933;-71.5267881;2;2;2;2;2;2;2;2;2;2;2;2;4;1;3;3;3;2;0;0;1;1;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;S?;S?;S?;7;4;7;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;Femenine;53;45-59;2;Basica completa;No;No;No;19;master only (1);0;1;0;0;0;0;0
1950;-32.9861466;-71.5272006;3;4;1;1;1;5;1;3;5;3;5;3;5;1;2;2;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;S?;S?;S?;7;4;7;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;Masculine;26;18-29;2;Media completa;No;No;No;19;master only (1);0;1;0;0;0;0;0
1951;-32.9861324;-71.527266;4;2;4;3;2;3;;4;4;4;4;4;4;3;3;3;4;4;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;S?;S?;No;7;7;7;1;1;1;6;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;Femenine;35;30-44;5;Postgrado;No;No;No;19;master only (1);0;1;0;0;0;0;0
1952;-32.9859917;-71.5269542;4;1;1;1;1;2;1;1;4;4;2;1;4;2;2;2;3;2;0;0;1;1;1;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;1;S?;No;;7;1;5;1;1;2;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;Femenine;75;60 or more;3;Superior tecnica completa;Yes;No;No;19;master only (1);0;1;0;0;0;0;0
1956;-32.9858053;-71.5279929;2;3;4;2;1;2;2;2;5;4;3;4;3;1;3;3;4;2;0;0;1;1;1;0;3;1;1;0;1;1;0;4;1;0;0;1;0;0;2;No;S?;S?;7;2;4;6;1;1;7;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;Femenine;24;18-29;4;Universitaria inompleta;No;No;No;20;master only (1);0;0;1;0;0;0;0
1957;-32.9858016;-71.5279433;5;5;4;1;1;1;1;1;5;5;4;5;5;3;3;3;3;3;0;0;1;1;1;0;3;0;1;0;0;1;0;2;1;0;0;0;0;1;2;S?;S?;No;6;4;6;4;3;3;6;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;Masculine;22;18-29;3;Media completa;No;No;No;20;master only (1);0;0;1;0;0;0;0
1958;-32.9857963;-71.5279762;3;3;3;2;3;3;2;3;4;5;5;4;3;4;3;3;3;3;1;1;1;1;1;0;5;1;1;0;0;1;1;4;1;1;0;0;0;0;2;S?;No;S?;5;3;7;7;7;6;7;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;Masculine;25;18-29;2;Media completa;Yes;No;No;20;master only (1);0;0;1;0;0;0;0
1959;-32.9857565;-71.5280539;1;1;4;1;2;1;2;1;3;4;3;1;2;2;2;3;2;3;1;1;1;0;1;0;4;0;1;0;0;1;0;2;1;1;0;0;0;0;2;S?;S?;No;6;5;7;1;1;1;5;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;Masculine;19;18-29;;Media completa;Yes;No;No;20;master only (1);0;0;1;0;0;0;0
1960;-32.9856925;-71.5285726;3;4;4;3;2;4;2;4;4;4;4;4;4;2;3;3;3;3;0;0;1;1;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;S?;S?;S?;7;3;4;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;Masculine;59;45-59;5;Universitaria completa;No;No;No;19;master only (1);0;1;0;0;0;0;0
1962;-32.9855384;-71.5286679;2;2;4;4;2;2;2;3;4;4;2;5;5;2;4;4;4;4;1;1;1;1;1;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;S?;S?;S?;7;7;4;4;4;4;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;Femenine;57;45-59;2;Basica incompleta o menos;Yes;No;No;19;master only (1);0;1;0;0;0;0;0
